nuc,vac,pox,erl,gvh,mcg
0.5346160656792712,0.6861765566913536,1.4888961825265712,0.5917155494391907,3.5150063236361557,0.8802754886758863
0.5982219650405411,0.694582815105182,1.4389210894900162,0.5918198163369192,3.009297998329605,0.9391218256076891
0.5833460590200625,0.6944244881538106,1.3719513038614912,0.5897170447492933,3.0664236174602038,0.995025420335844
0.517856840063432,0.6608927690539995,1.4415490032688227,0.6380702227989584,3.6348412394128875,0.8739285921961434
0.5825819400408088,0.6681874630070923,1.380962173429828,0.5109122467346137,3.5690165854257057,1.0201593111674876
0.557974334647348,0.6793293018110809,1.397541921848844,0.5241697810574433,3.72506853127208,0.9667948724035502
0.5882093506261096,0.7121589174805463,1.3836563884433821,0.5387681650915515,3.304557936160156,0.9690531777087642
0.5696922146101124,0.7139980049245849,1.4626441421342824,0.6078008239715965,2.9093640345150074,0.9505275104072879
0.5667895927360751,0.7103057808990554,1.4925779223884537,0.5603054567854407,3.1516497043466853,0.9423950080961767
0.5922396058881664,0.7620193182521652,1.4372666779424466,0.5638874282788439,2.8403782362408396,0.9625662403398989
