nuc,vac,pox,erl,gvh,mcg
0.49987315861558035,0.49745102758840765,0.5014364309103172,0.2614296302170607,0.4997554935330532,0.2765592291803233
0.4965902508369357,0.4991373269694585,0.5002485977075026,0.25799888395286663,0.5000217206231157,0.2745532457150017
0.49999579738152805,0.4985800072083159,0.501188849848387,0.2609071284824182,0.4998144308383559,0.27646194291232673
0.49887801645968005,0.5014531743541181,0.49756871474968617,0.26538377784165734,0.5001950787712077,0.2761758938926665
0.502046404591601,0.5007778382746287,0.4970813580058452,0.26184111507322533,0.4998596214457258,0.2752927254581268
0.5022987848917992,0.502158532786257,0.4993549600243471,0.2595254781760315,0.5015728050631552,0.27789609352844596
0.5024230663728579,0.5000312888235634,0.502575017695275,0.26419738859183783,0.4989957167657106,0.27500226656835297
0.49794644042365277,0.5010444700508515,0.5016152693581981,0.2603314185557636,0.4992735653778143,0.2756845569119129
0.4985278812510809,0.4989447973593586,0.49997048670718197,0.26200317120041705,0.49950353114510976,0.27884217684150253
0.5026984477102601,0.4998409208222164,0.49922160251511455,0.25813761704360466,0.49998008563561797,0.2756926208737274
