mcg,gvh,alm,mit,erl,pox,vac,nuc
9.32192963317497e-10,7.707962915425055e-10,5.046522955516891e-09,1.9040622033525047e-09,3.220389709691707e-09,6.451852853240729e+59,2.5099362232607187e-08,2.7773179908407005e-09
1.5201244182904589e-10,1.563599457744541e-10,4.093062799199298e-10,1.1237631039268459e-10,7.158177366686918e+66,4.873336421835555e-11,9.719988598643685e-10,2.697600122822124e-09
1.2707746907632244e-08,1.4851119546684625e-08,5.3439332710768136e-08,1.5446099112741005e-08,6.947995440214186e+52,7.677707062581417e-09,1.7728645243949293e-07,6.787749292432992e-08
2.511277685418681e-09,3.1810190406605336e-09,6.5311927840253426e-09,2.7777338018963745e-09,0.031057163254786392,3.056249436108321e+51,1.5440543978414632e-08,4.708067586965598e-09
2.1089925348444317e-09,1.9070939178799824e-09,1.2657459719611607e-08,3.3868781389027695e-09,0.000932748883832729,1.603956908018001e+52,4.354056035679365e-08,8.903388068810422e-09
0.000513860755031521,0.0009757834569022232,0.004280796680995316,0.0010863591756837775,1.6546540786729656e+18,0.00221307570925095,0.022087377462993135,0.005302191651353712
1.3128616275861753e-09,1.1527804766449142e-09,8.373538359801417e-09,1.9234219902078377e-09,0.008294769061052656,2.747742524986866e+52,2.5356816555805362e-08,7.098650237481381e-09
6.0187966122435e-15,7.431656785336494e-15,1.4861020569523418e-14,5.966196626932772e-15,1.4981962113021536e+17,5.135223727712381e+66,3.336348058650554e-14,9.823337716547897e-15
5.1889875481102055e-08,4.4065451127416075e-08,3.12457808604576e-07,9.319240644192406e-08,0.0008231470608826661,9.856245859039763e+43,1.1201059628630365e-06,1.6527195815108511e-07
2.765717937627494e-11,2.473973915323514e-11,1.7155763127646096e-10,3.675825198611753e-11,7308.8601566750895,1.097638080137619e+57,3.8797701212593085e-10,7.445901613428123e-11
