mcg,gvh,alm,mit,erl,pox,vac,nuc
7.052272720411212e-11,1.3091580363930733e-10,1.631845496206968e-10,2.1303845370943988e-10,2.3844260024207434e+69,2.4609228125629335e-11,2.047231238688135e-10,2.5935405685822615e-10
6.937548871440921e-07,8.125662472866573e-07,3.115713131235942e-06,2.927675969518101e-07,9.747764578849383e+41,1.9329888529569838e-07,2.425515641771147e-05,4.2551633060801623e-07
2.9566747626520317e-12,4.3911397323411585e-12,2.3611454214591636e-11,7.321123541643506e-12,2.788764927043319e+75,9.627322414031251e-11,1.5574225004751813e-10,1.0656015613560902e-11
2.355026609155858e-16,2.9081759084947974e-16,5.816146723048235e-16,2.3360781088473547e-16,3.0671837442243085e+81,69726117561.0732,1.3060848619052683e-15,3.8472828985710678e-16
5.585885397888752e-13,5.455032183011186e-13,2.104026048581637e-12,4.968646647052342e-13,2.788890138446486e+83,2.5327012989377454e-13,1.290843897775118e-11,3.4429628070388794e-12
7.410521135556988e-15,9.376191376980107e-15,1.7941174946542336e-14,2.547782612086311e-15,1.3513143216291045e+65,1.4075096452643192e+18,3.0686673910209976e-14,5.3945342977414526e-14
4.018009578247499e-07,3.4123646701950283e-07,2.1766370776348908e-06,8.652304902458412e-07,84.45822668243002,2.952932494069893e+33,1.2968413440038808e-05,1.1973839494808564e-06
1.8996755179429322e-07,2.2224552255137433e-07,8.72470226559242e-07,7.766485021012543e-08,8.693036487534957e+45,5.028160715707214e-08,6.659225041541391e-06,1.2009034286726892e-07
1.3101601230369282e-10,1.1558374652044561e-10,8.065681183794177e-10,2.058312129113586e-10,0.023058054720584052,1.1121445983365729e+58,2.6760861173874097e-09,5.796189336816547e-10
4.1176084218290074e-14,2.2514283082769516e-14,2.2352527389290446e-13,6.870341733752615e-14,1.7826128800176013e+39,7.414723290279152e+38,8.817575761553198e-13,6.026853996044613e-14
