mcg,gvh,alm,mit,erl,pox,vac,nuc
2.7116060942302804e-07,3.33503261095209e-07,6.787011851776665e-07,2.732834316771082e-07,2.5616170474857262e-06,3.2682202704167735e+43,1.5295601489463406e-06,4.6557464365540944e-07
2.309605242770816e-06,2.4984329702057494e-06,5.048395994648461e-06,1.622787949206485e-06,6.899161688191782e+34,0.05479736745370097,9.200527774647809e-06,6.081498370688262e-07
1.375908623523193e-07,4.572657060267945e-07,3.3043095344812436e-07,6.095876437759504e-07,7.792018410107815e+45,6.491217515369731e-08,5.484000525110583e-07,2.8447969730616506e-07
2.2799409986896166e-10,2.518247573092631e-10,4.857193261888225e-10,1.1553160152038983e-10,13699.906929050454,1.6988217387222891e+53,8.922716977409082e-10,1.494614688176684e-10
5.002033211755228e-10,5.266814584549898e-10,1.1855754925802482e-09,6.544211868633373e-10,1378517248.7898479,7.18109437048966e+45,3.2950812151950735e-09,1.4998570648163372e-10
6.028420498421148e-10,2.081301432463138e-09,8.153087839007054e-09,8.235414031445216e-10,3126.455326354458,2.5467592079866917e+49,1.7155516756298511e-09,8.689804436446336e-10
8.072526473079187e-18,9.180152941691552e-18,1.8123736435432536e-17,5.7503606302060806e-18,6.218071659003632e+27,1.0468158450782942e+74,3.345639490344849e-17,5.945558183613747e-18
9.542351515157167e-11,9.128201976975345e-11,6.380612163173541e-10,1.190947340696534e-10,725104978974.5315,1.5826234035017156e+45,1.6897593900700452e-09,7.791141686254205e-10
1.6483692819207371e-06,1.917748402206501e-06,6.7421317872295785e-06,1.951167568035543e-06,1.2975121670084722e+38,9.544483063173619e-07,2.21515559716151e-05,8.765848567094028e-06
4.885492928236019e-07,9.975971217482605e-07,1.9275538367172085e-05,2.996647906774193e-06,9.635652874260607e+31,0.0005920835104467053,1.748955260616491e-05,0.03560011298266612
