nuc,vac,pox,erl,mit,gvh,mcg
0.4540039639073171,0.5858232053391411,1.1858870333280196,0.46810373760283464,3.746521223697566,2.7477458392240552,0.6579359228601336
0.45551455661060974,0.5858445072361115,1.144119019560765,0.45352414434626354,3.3043702684305973,2.789411246945819,0.7835063239055651
0.4367524936851685,0.5103798398559581,1.1145452391612531,0.4442545470744532,4.234675521899262,2.710655150953749,0.7893090891932363
0.46724548950183914,0.56993249661232,1.1407167503542635,0.4123306159416223,4.189144221510619,2.4731255529015717,0.770613447512266
0.4376110293967087,0.5174367854942021,1.1103130220539161,0.4129932355644035,5.267952488937582,2.32520990065641,0.7862525297407945
0.43567500339181947,0.5424892904685011,1.1175594169832714,0.47547336362706544,4.34021945694823,2.373009778830344,0.7731044185836772
0.45337171259066533,0.5726623316254673,1.136081515560982,0.4906573010294902,3.2119236581526676,2.569161822291637,0.8373413337599049
0.4802129030646908,0.5886587859561222,1.2340220719172,0.493000563855336,2.7029741460592125,2.976944267921822,0.7226360194010313
0.4309325304464936,0.5789440140112027,1.2735922138795965,0.4811743410214703,3.120146713610761,2.692105899941384,0.7786712527121972
0.46146032859856645,0.5411602557014351,1.0599980708877619,0.4754652666367686,3.7121595164691805,2.61220038029111,0.8193750690844083
